sheet_row,section,de,name,remark,source_column,status,suggested_column,confidence,area,reason,current_row_line
618,Wäärwe än latj krååm,Süderende,Söleraanj,fering,Oudere noome,deleted_variant,fering,high,fering,"remark ""fering""; å/ä/ö/ü→Mooring; long-vowel doubling; area from OSM name lookup",587
467,"Hålie, ailönje än sönje",Oland,Ualöön,Hålifrasch,Oudere noome,lost_by_script,hallig,high,hallig,"drop_older_column.py: dropped as an alternative Mooring spelling; remark ""Hålifrasch""; å/ä/ö/ü→Mooring; oa/ea/ia→Halunder/Hallig/Fering; area from OSM name lookup",444
472,"Hålie, ailönje än sönje",Buhtwehl,Butweel,Hålifrasch,Oudere noome,lost_by_script,hallig,high,hallig,"drop_older_column.py: dropped as an alternative Mooring spelling; remark ""Hålifrasch""; long-vowel doubling; area from neighbouring rows",449
505,Wäärwe än latj krååm,Honkenswarf,Honkensweerw,,Oudere noome,deleted_variant,hallig,high,hallig,place lies in the hallig area; -weerw/-weerf→Hallig/Harde; long-vowel doubling; area from OSM match,477
506,Wäärwe än latj krååm,Hunnenswarf,Hunensweerw,,Oudere noome,deleted_variant,hallig,high,hallig,place lies in the hallig area; -weerw/-weerf→Hallig/Harde; long-vowel doubling; area from OSM match,478
507,Wäärwe än latj krååm,Ketelswarf,Käädelsweerw,Halifreesk,Oudere noome,deleted_variant,hallig,high,hallig,"remark ""Halifreesk""; -weerw/-weerf→Hallig/Harde; å/ä/ö/ü→Mooring; long-vowel doubling; area from OSM match",479
508,Wäärwe än latj krååm,Neuwarf,Naiweerw,,Oudere noome,deleted_variant,hallig,high,hallig,place lies in the hallig area; -weerw/-weerf→Hallig/Harde; long-vowel doubling; area from OSM match,480
510,Wäärwe än latj krååm,Kirchwarft,Schorkeweerw,,Oudere noome,deleted_variant,hallig,high,hallig,place lies in the hallig area; -weerw/-weerf→Hallig/Harde; long-vowel doubling; area from hint Langeness,482
510,Wäärwe än latj krååm,Kirchwarft,Nees-Schorkeweerw,,Oudere noome,lost_by_script,hallig,high,hallig,drop_older_column.py: dropped as an alternative Mooring spelling; place lies in the hallig area; -weerw/-weerf→Hallig/Harde; long-vowel doubling; area from hint Langeness,482
512,Wäärwe än latj krååm,Christianswarf,Kruschensweerw,,Oudere noome,deleted_variant,hallig,high,hallig,place lies in the hallig area; -weerw/-weerf→Hallig/Harde; long-vowel doubling; area from OSM match,484
513,Wäärwe än latj krååm,Tamenswarf,Tamensweerw,,Oudere noome,deleted_variant,hallig,high,hallig,place lies in the hallig area; -weerw/-weerf→Hallig/Harde; long-vowel doubling; area from OSM match,485
514,Wäärwe än latj krååm,Halgehus,Haolgeweerw,Halifreesk,Oudere noome,lost_by_script,hallig,high,hallig,"drop_older_column.py: dropped as an alternative Mooring spelling; remark ""Halifreesk""; -weerw/-weerf→Hallig/Harde; long-vowel doubling; area from neighbouring rows",486
515,Wäärwe än latj krååm,Rixwarf,Raksweerw,Halifreesk,Oudere noome,deleted_variant,hallig,high,hallig,"remark ""Halifreesk""; -weerw/-weerf→Hallig/Harde; long-vowel doubling; area from OSM match",487
517,Wäärwe än latj krååm,Mayenswarft,Moiensweerw,,Oudere noome,deleted_variant,hallig,high,hallig,place lies in the hallig area; -weerw/-weerf→Hallig/Harde; long-vowel doubling; area from neighbouring rows,489
