Mooring,Oudere noome,Adjektiiw / inbooger betiikning,oudere adjektiiwe,Tjüsch,Plååttjüsch,Dåånsch,Synnejysk,Üülje noome,Kwäl
Rübel,,rüblinge,,Ruttebüll,,Rudbøl,,,
,Roosekrans,,,Rosenkranz,,Rosenkrands,,,
Sätj,,,,,,Sæd,,,"Rüm Hart, Nis Albrecht Johannsen"
Älhood,,,,Ellhöft,,Ellehoved,,,
,Seebel,,,Seebüll,,Søbøl,,,
Löst,,,,Lyst,,,,,
Oowentuft,Oowentoft,oowentuftinge,,Aventoft,,Aventoft,,,"Marie Tånageberg 2021, Sååge än Tääle"
,Haasbärj,,,Haasberg,,,,,
Weestre,,,,Westre,,,,,
Hältuft,Hältoft (wisinge),,,Hülltoft,,Hyltoft,,,
Bünesguurd,"Boinjesguurd, Buinesguurd (wisinge)",,,Bundesgaard,,,,,
Runäis,"Runees, Rornees",,,Rodenäs,,Rødenæs,Rånæjs,,
Üüljtoorp,Uuiltorp,,,Oldorf,,Gammelby,,,
Naitoorp,Naitorp,,,Neudorf,,Nyby,,,
Aphüsem,Äphüsem,,,Ophusum,,,,,
Kiksbel,,,,Kixbüll,,,,,
Kiksbelguurd,,,,Kixbüllhof,,Kixbølgård,,,
,Foobel (wisinge),,,Fockebüll,,,,,
Siberhüsem,Sibershüsem,,,Sibbershusum,,,,,
Braamstäälönj,,,,Bramstedtlund,Braamsteedlund,Bramstedlund,,,
Braamstää,,,,Bramstedt,,,,,
Bööglem,,,,Böglum,,,,,
Läigem,Leegem,,,Süderlügum,,Sønder Løgum,Lym,,
Wimesbel,,,,Wimmersbüll,,,,,
Grälsbel,Grelsbel ,,,Gellsbüll,,,,,
Humptoorp,,,,Humtrup,,Humtrup,,,
Kaalebel,,,,Kahlebüll,,,,,
Leeksguurd,,,,Lexgaard,,Læksgårde,,,
Kråågebel,,,,Krakebüll,,,,,
Klångsbel,Klangsbel,klångsblinge,,Klanxbüll,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Tiirsbel,,,,Diedersbüll,,,,,
,Tiirsbelmårke (wisinge?),,,Diedersbüllfeld,,Didersbøl Mark,,,
Buumbel,Buumel,buumblinge,,Bombüll,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
,Firsbel,,,Feddersbüll,,,,,
,Sörfeersbel,,,Südfeddersbüll,,,,,
Rosbel,,,,Rotzbüll,,,,,
Ämesbel,Ämelsbel,ämesbelinge,,Emmelsbüll,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
,Toftem (wisinge),,,Toftum,,,,,
Bäninghüsem,,,,Benninghusum,,,,,
Horbel,"Hoorbel, Hörbel",horblinge,hoorbling,Horsbüll,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Üüljhorbel,Uuiljhoorbel,,,Althorsbüll,,,,,
Naihorbel,Naihoorbel,,,Neuhorsbüll,,,,,
,"Ülehüsem, Ülwehüsem?",,,Olfhusum,,,,,
Äbel,,äblinge,,Ebbüll,,,,,
"Naischörsbel, Naischöspel","Naisjösbel, Naischöspel",naischösblinge,,Neukirchen,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen; Büten dik än banen dik, Nordfriisk Instituut, 1999"
Feegetas,,feegetasinge,,Fegetasch,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Heesbel,Hjisbel (wisinge),,hjisbling (wisinge),Hesbüll,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
,Noordhjisbel,,,Nordhesbüll,,,,,
,Sörhjisbel,,,Süderhesbüll,,,,,
,Sörhjisbel,,,Südhesbel,,,,,
e Bääwer,,,,Bever,,,,,
Bäärtuft,Bäärtoft,,,Bevertoft,,,,,
,Sörbäärtoft,,,Süd-Bevertoft,,,,,
Klänt,,,,Klindt,,,,,
Lungstuft,,,,Langstoft,,Langstoft,,,
Naibel,,naiblinge,,Niebüll,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Deesbel,,deesblinge,deesbelnge,Deezbüll,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Moosbel,,moosblinge,moosbelnge,Maasbüll,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Moosjarn,,,,Moorhäuser,,,,,
Risem,,"riseme, risemer",risinge,Risum,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Lunham,Lunhalm,"lunhame, lunhamer",lunhalinge,Lindholm,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Klookris,,klookrisinge,,Klockries,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
"e Gåås, e Gåå",,gååblinge,,Die Gath,,Gade,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen; Marie Tånageberg 2021, Sååge än Tääle"
Läigeroos,,,,Legerade,,,,,
et Läiged,,,,Läiged,,,,,
Ülbel,Uulebel,ülblinge,,Uhlebüll,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen; Marie Tånageberg 2021, Sååge än Tääle"
"e Moore, e Mååre",e Maure,"mooringe, moormoon","moorblinge, moorernge",Risummoor,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
e Ååstermoore,e Ååstermååre,ååstermooringe,ååstermååringe,Ostermoor,,,,,
e Weestermoore,e Weestermååre,weestermooringe,weestermååringe,Westermoor,,,,,
Galmsbel,,galmsblinge,,Galmsbüll,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Naigalmsbel,,naigalmsblinge,,Neugalmsbüll,,,,,
Doogebel,,doogblinge,"doogebelinge, doogebaler (Fering)",Dagebüll,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen; Büten dik än banen dik, Nordfriisk Instituut, 1999"
Foortuft,,foortuftinge,foortufter,Fahretoft,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
"Waiguurd, Woiguurd",,"waiguurdinge, woiguurdinge",,Waygaard,,Vadgård,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
