osm,name,lat,lon,set_tags,minzoom,maxzoom,polygon_km2,note
way/177387348,Habel,,,place=island,,,,Hallig; OSM tags it place=islet and OpenMapTiles drops islets entirely
way/1472528449,Norderoog,,,place=island,,,,Hallig; OSM tags it place=islet
way/1472528446,Südfall,,,place=island,,,,Hallig; OSM tags it place=islet
node/85929111,Nordstrand (synthetic island polygon),,,place=island;frasch:kind=island,,11,50,"Nordstrand has no island polygon in OSM (only place=village and natural=peninsula nodes; it is a peninsula now, so the coastline does not close around it). OpenMapTiles labels place=island NODES only from z12, so the injector adds a synthetic 50 km² square (roughly the real area, which sets OMT's rank and first zoom) centred on the village node; Planetiler labels a polygon at its interior point = the node. It carries the node's names (e Strönj from the row below) and hands over to the village label at z12 (maxzoom 11). Earlier the municipality relation was the island polygon, but its interior point lies 2 km north-west of the village"
relation/5713606,Süderoogsand,,,frasch:kind=sand,9,,,"already place=island in OSM; not in the sheet, so it needs its kind here. minzoom 9 puts it with Norderoogsand"
relation/5713403,Japsand,,,frasch:kind=sand,,,,"already place=island in OSM; not in the sheet, so it needs its kind here"
node/1259327161,Tilli,,,,10,,,no Frisian name; must not show before Dagebüll (z10)
node/355956234,Tammensiel,,,,10,,,must not show before Dagebüll (z10)
node/240074898,Friedrich-Wilhelm-Lübke-Koog,,,,11,,,"place=village with 166 inhabitants, first in the tiles at z9 like the real villages; far too prominent, so two zoom levels later"
node/954942814,Rodenäs - Kirche,,,place=hamlet,,,,"place=village in OSM but only the church end of Rodenäs; first at z9, far too prominent, so set to hamlet"
node/85929111,Nordstrand (village node),,,name:frr-x-mooring=e Strönj;frasch:ref=relation/1420555,12,,,"the municipality's place=village node: same name as the island, held back to z12 so it takes over from the synthetic island label above at the same spot (like Pellworm's village node); frasch:ref points it (and the square, which inherits the tag) at the name-list row on relation/1420555, so the place card finds the other dialects and the QID"
relation/5615880,Hamburger Hallig,,,place=island,12,,,"only a dwelling node and an admin_level=10 boundary in OSM; the boundary becomes the island polygon. Small Hallig, so z12 like Habel"
way/44051131; way/44051132; way/44051133; way/628205597; way/628205598; way/628205599,Arlau (segments outside the relation),,,name:frr-x-mooring=Arlou;frasch:kind=water,,,,six short waterway=river ways named Arlau that are not members of relation/535603 (the places.csv row for Arlau); give them the same name so the line label is continuous
local/westerheide-amrum,Westerheide (Amrum),54.65097,8.34019,,,,,nicht in OSM (Waasterhias bei Nebel); Lage von Hand gesetzt
local/huelltoft,Hülltoft,54.881287,8.771304,,,,,
local/sibbershusum,Sibbershusum,54.894894,8.674238,,,,,
local/bramstedt,Bramstedt,54.841343,9.084811,,,,,
local/emmelsbuell,Emmelsbüll,54.810998,8.695429,place=village,,,,main settlement; shown as a village
local/benninghusum,Benninghusum,54.835675,8.648816,,,,,
local/horsbuell,Horsbüll,54.830598,8.653066,place=village,,,,main settlement; shown as a village
local/neuhorsbuell,Neuhorsbüll,54.831981,8.658431,,,,,
local/ebbuell,Ebbüll,54.810005,8.685719,,,,,
local/fegetasch,Fegetasch,54.872359,8.735385,,,,,
local/bevertoft,Bevertoft,54.871209,8.720949,,,,,
local/sued-bevertoft,Süd-Bevertoft,54.864346,8.715228,,,,,
local/waygaard,Waygaard,54.702831,8.83708,place=village,,,,main settlement; shown as a village
local/froddegaard,Froddegaard,54.718113,8.85798,,,,,
local/leckeng,Leckeng,54.773359,8.929193,,,,,
local/nordmarsch,Nordmarsch,54.630651,8.556603,,,,,
local/buhtwehl,Buhtwehl,54.63693,8.614168,,,,,
local/kleiende,Kleiende,54.844709,8.670707,,,,,
local/merlingmark,Merlingmark,54.891159,8.773862,,,,,
local/schmalfeld,Schmalfeld,54.896097,8.794038,,,,,
local/segelsbuell,Segelsbüll,54.878349,8.749741,,,,,
local/westermuehlenhaus,Westermühlenhaus,54.833725,8.757252,,,,,
local/windert,Windert,54.666387,9.051042,,,,,
local/wraagaard,Wraagaard,54.815952,8.883721,,,,,
local/wrewelsbuell,Wrewelsbüll,54.81615,8.727431,,,,,
local/aarlau-schleuse,Aarlau Schleuse,54.546772,8.940342,,,,,
