kind,mooring,local,wieding,karrhard,nordgoes,midgoes,suedgoes,fering,oomrang,solring,hallig,halunder,de,hint,da,osm,wikidata,status,note
settlement,Rübel,,Rübel,,,,,,,,,,Ruttebüll,,Rudbøl,node/12793423633,Q12333880,auto,
settlement,Rousekråns,,Roosekrans,,,,,,,,,,Rosenkranz,,Rosenkrands,node/1732832228,Q85557044,auto,
settlement,Sätj,,,,,,,,,,,,,,Sæd,node/7532540071,Q12004678,auto,
settlement,Älhood,,Älhood,,,,,,,,,,Ellhöft,,Ellehoved,node/240044177,Q506368,auto,
settlement,Seebel,,Seebel,,,,,,,,,,Seebüll,,Søbøl,node/1662227786,,auto,
settlement,Löst,,Löst,,,,,,,,,,Lyst,,,node/3033265752,,auto,
settlement,Oowentuft,Awntåwt,Oowentoft,,,,,,,,,,Aventoft,,Aventoft,node/240051016,Q506341,auto,
settlement,Hååsbärj,,Haasbärj,,,,,,,,,,Haasberg,,,node/8538774011,,auto,
settlement,Fascherhüsinge,,Fäskerhüsinge,,,,,,,,,,Fischerhäuser,,,,,,
settlement,Fiilätj,,,,,,,,,,,,Verlath,,,,,,
settlement,Weestre,,Weestre,,,,,,,,,,Westre,,,node/240123246,Q506431,auto,
settlement,Hältuft,,Hältoft,,,,,,,,,,Hülltoft,,Hyltoft,local/huelltoft,,ok,
settlement,Bünesguurd,,Buinesguurd,,,,,,,,,,Bundesgaard,,,node/8536689723,,auto,
settlement,Runäis,,Rornees,,,,,,,,,,Rodenäs,,Rødenæs,node/240044167,Q547683,auto,
settlement,Üüljtoorp,,Uuiltorp,,,,,,,,,,Oldorf,,Gammelby,node/954942814,,ok,
settlement,,,Naitoorp,,,,,,,,,,Neudorf,,Nyby,node/7806442870,,auto,
settlement,Aphüsem,,Äphüsem,,,,,,,,,,Ophusum,,,node/7806442871,,auto,
settlement,Kiksbel,,Kiksbel,,,,,,,,,,Kixbüll,,,node/8536702148,,auto,
settlement,Kiksbelguurd,,Kiksbelguurd,,,,,,,,,,Kixbüllhof,,Kixbølgård,way/715469032,,ok,
settlement,,,Foobel,,,,,,,,,,Fockebüll,,,local/fockebuell,,ok,
settlement,Siberhüsem,,Siberhüsem,,,,,,,,,,Sibbershusum,,,local/sibbershusum,,ok,
settlement,Braamstäälönj,,,,,,,,,,,,Bramstedtlund,,Bramstedlund,node/2677829555,Q522802,auto,
settlement,Braamstää,,,,,,,,,,,,Bramstedt,,,local/bramstedt,,ok,
settlement,Bööglem,,Bööglem,,,,,,,,,,Böglum,,,node/6058097234,,auto,
settlement,Läigem,Lym,,Leegem,,,,,,,,,Süderlügum,,Sønder Løgum,node/240030510,Q559482,auto,
settlement,Wimesbel,,,,,,,,,,,,Wimmersbüll,,,node/1801436990,Q104205553,auto,
settlement,Grälsbel,,,Grälsbel,,,,,,,,,Grellsbüll,,,,,,
settlement,Humptoorp,,,,,,,,,,,,Humptrup,,Humtrup,node/240109790,Q506313,auto,
settlement,Kaalebel,,,,,,,,,,,,Kahlebüll,,,node/8538782116,,auto,
